PC	percent.variation	SRR1554534	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541	SRR1554544	SRR1554546	SRR1554549	SRR1554551	SRR1554553	SRR1554554	SRR1554556	SRR1554561	SRR1554566	SRR1554567	SRR1554568
1	0.917931592188602	0.232206214554098	0.236363451242676	0.221744512251714	0.235258209137075	0.235083544275736	0.236662631396684	0.235656285563868	0.239569305525675	0.239323615358396	0.240896120002555	0.239769991702778	0.240583170454164	0.240354163336102	0.235020113685212	0.232405563401201	0.231452817158409	0.237177676303267	0.232330591163262
2	0.0499704055391137	0.26070236030542	0.241824148387033	0.216639015649594	-0.321568755098903	-0.327619685991013	0.202210938752409	-0.26920127477691	0.120595309452196	0.0685634081610005	0.120334046773267	0.0861188753903746	0.0728496645968962	0.083661876182804	0.208667572711325	0.246654880414271	-0.345624527786873	-0.296540454622489	-0.370543582929057
3	0.0113658762861182	0.262613685589948	0.121305738814535	-0.539948779930416	0.084989989284122	0.0270078306492816	0.33866152410361	0.162276356423496	-0.283276089384208	-0.355216265648273	-0.0997132943490518	-0.29666337887604	0.0687488879280299	0.0343372523922137	0.0817508246006696	0.392348009989494	-0.056434687288619	0.0407980252659177	0.00674631590278371
4	0.00816872049065125	-0.264248461693066	-0.144950158219436	-0.420446444560974	-0.0515287962467799	-0.0196533689620014	0.0687976013953363	0.270945212933987	0.144409501362562	0.170204446250656	0.143096672015603	0.211766079922934	0.441847869553234	0.300457638749022	-0.205699540531962	-0.172727011726546	-0.351291762935929	0.0413078622061032	-0.230851500426187
5	0.00299365598278308	0.331670547376576	-0.293546156843355	-0.0896186047506133	0.0486552170090513	-0.0871749534768309	-0.175487137614523	-0.219636437144615	0.163338668722223	0.0883247199413899	0.0726117346293096	0.114166221896094	0.0599308478772571	0.0294382355331453	-0.638025801093404	0.441431305661671	0.187848429348799	-0.0933208900988057	0.060093927367949
6	0.00245170153295174	-0.148265052674913	0.125491101585117	-0.438929307041086	-0.24672898071444	-0.185618276803945	0.119605558097964	-0.493893828073174	0.0206318341439657	0.089695053315422	0.15456057329722	0.0949110377082382	0.133458044453349	0.0647815265104025	0.187227409299001	-0.172008745891775	0.435933615016696	-0.0748693194641216	0.303947846557211
7	0.00130602420223608	0.200726431564362	0.189617385831064	-0.205620245224154	-0.268015157233457	-0.103827494387869	-0.206810580342785	0.219087490153767	0.0486162571718389	0.141431084777934	0.0759454855203912	0.195951957755984	0.084652895830464	-0.698648040569708	0.0302540629142795	0.0172322938623724	0.0330038802992509	0.359410927448053	-0.121688687188375
8	0.00130356098169064	-0.166031155612563	0.0936860870364302	0.314727559845374	-0.348145990782411	-0.0969328786160149	0.489842185759828	0.13685727183757	0.0516118783671647	-0.158058041421147	-0.392186583970291	-0.0237428737036302	0.291165168092755	-0.103513221615146	-0.375490721721032	-0.0470217126335179	0.208125803484029	0.0598874669932288	0.0877880757032941
9	0.000914045402907152	0.0801064551280388	-0.199345122702484	0.067228016488304	-0.709743322985604	0.142157385909932	-0.21887967365841	0.186932474613554	-0.137353871979747	-0.0397529040434728	0.160113132284133	-0.14610810659558	-0.155310653515611	0.395944840936153	0.0701123684061721	0.112528584669344	0.0787667693302451	0.258654662094961	0.0593274711070274
10	0.000772546049219486	-0.0501345826876787	-0.0581087934430198	-0.175936526050133	-0.132952629850083	0.403005969151173	0.313777285272694	-0.266311156789128	0.136477337570204	0.296091030773307	-0.331885566165158	0.233377451311541	-0.411118940260239	-0.0473058826660387	-0.0249265606884052	0.120944066873398	-0.324040347389382	0.195623787417819	0.114030396678204
11	0.000600763772320719	0.0195464451341038	0.234020375145939	0.100545397650971	0.096801925401515	0.246414611348251	-0.118969255915281	-0.51971513937797	-0.0489836827113135	-0.239501288533415	0.0617260513834074	-0.14248921273224	0.264583422683723	0.102236069754108	-0.155281714652309	-0.0966716825235951	-0.071625250191012	0.545112599597031	-0.283423430993807
12	0.000495845753464898	-0.158613142199516	-0.497648936918512	0.145794807686104	-0.0386735899403664	0.218271665433768	0.342986953351636	-0.127285362089887	-0.057582411860249	-0.082685435579655	0.533349427642245	-0.145024413555595	0.153271012934652	-0.390188512716574	0.0933313241576463	0.0956374421937481	-0.100988932406633	-0.0300557080213265	0.0510563165101845
13	0.000400673326839573	0.0300636380702224	-0.234604084672156	-0.0922476888590777	-0.0066187598737739	0.287962010296933	0.074430055817667	0.0161024937129152	0.137230707575097	0.105290361123444	-0.214637865127147	-0.0322520334876952	0.0131830476998749	-0.00406703785562561	0.203008525412581	0.00647053203451733	0.51222110979305	-0.1336702994751	-0.669381507883588
14	0.000368100631560031	-0.0723190912379581	0.39628234509022	-0.100671087557447	-0.0565961358166888	0.188532726377609	0.164828181321409	0.14217899364912	0.269108604684325	-0.24252079934208	0.453098768866317	-0.00982063553543053	-0.450537785848041	-0.00123714118208597	-0.346638418344898	-0.145679876698131	0.110677495349646	-0.158823042114195	-0.151634578377516
15	0.000334496122088819	0.288714082133414	-0.0210691642930571	-0.0638520267930939	-0.163134530624018	0.395566764023359	-0.225717989765498	-0.0206989197234775	0.440854702264376	-0.355273134500219	-0.167019849075324	-0.017468083525418	0.283180156220707	-0.0843701056474466	0.129948404524537	-0.185633121630218	-0.161508677357889	-0.32016113661417	0.248281682012092
16	0.000247240169693079	-0.000304142892363442	-0.329433084803382	-0.021944459557709	0.102699032079519	-0.402884573726561	0.101292183208114	0.00186027022175474	0.411363338818598	-0.493724086059438	-0.0361762875747608	0.269909635721147	-0.215879650277461	0.0811680510510719	0.197918459014326	-0.0095542891282044	0.0224357861776775	0.355424811755151	-0.037906594454797
17	0.000189791659641388	0.273451215128528	-0.0744588469842691	0.0547741439184421	-0.0174998746066957	0.152406338814277	0.0902952274593552	-0.0148519857368209	-0.543745292373919	-0.245595600366833	0.0441224241401323	0.669631915038082	-0.00060764163003104	0.0402589733643493	-0.0559575938625835	-0.232772968824894	0.0409134621006701	-0.122111592940189	-0.0540528727609009
18	0.000184959908118008	0.583729360304012	-0.176495042739421	-0.0226171537504327	0.0457922712187457	-0.150289663265523	0.2750113650882	0.00734368034591229	0.0337750082696665	0.26152160821879	0.0418915096803111	-0.318416671768788	-0.0831903550211375	0.0532402387603273	-0.0962696226887714	-0.564482124659564	-0.0351305226996227	0.123721752465665	0.0186072902828406
