PC	percent.variation	SRR1554534	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541	SRR1554544	SRR1554546	SRR1554549	SRR1554551	SRR1554553	SRR1554554	SRR1554556	SRR1554561	SRR1554566	SRR1554567	SRR1554568
1	0.95376161197896	-0.233004677808824	-0.235478770702459	-0.231227498912095	-0.238212490994387	-0.236794331201659	-0.234258176187949	-0.236992528970359	-0.236690086258946	-0.236102132416727	-0.235958115882635	-0.235950855708075	-0.239928524076218	-0.234819153687158	-0.234028107627585	-0.233007793720003	-0.23606862846852	-0.23718402947051	-0.236781928902899
2	0.0259155527320954	0.257305771224589	0.239756362519854	0.228492424326864	-0.33294162534029	-0.32557731109038	0.20590159127395	-0.258403366090885	0.117658812295934	0.0750546775354426	0.116062489342733	0.0837975928969231	0.0776624030385331	0.0856638183570427	0.213475750656021	0.24138742528982	-0.346242961749234	-0.279106404908806	-0.37831194282716
3	0.00539136556717255	0.310223306622778	0.182176590400448	-0.395363019607351	0.10730215903135	0.0369080882619324	0.313581706122513	0.136002071496154	-0.307938047695357	-0.391040657958092	-0.151963469548219	-0.32829542815699	-0.0747367055436739	-0.0668625450984795	0.151765126299908	0.410990940487375	-0.0134254833074876	0.0359376652829356	0.0497161911494175
4	0.00451127574222661	-0.142934860871123	-0.110367249643792	-0.614387489007979	-0.0271529780838018	-0.0149630639426584	0.0725264804436816	0.244957079664558	0.0682360571189927	0.109370883971907	0.154392826070427	0.143154218844024	0.46677763550469	0.283413291134513	-0.149482017356738	-0.0376561717381804	-0.303425022526174	0.0500906850331756	-0.214941641122933
5	0.00176720583926359	0.0893637054100261	0.0174023227062204	-0.438062928175234	-0.101803642434931	-0.152786171978093	-0.0508191565325742	-0.60999171038126	0.062573045367507	0.0961004989214941	0.189514276935611	0.0737052895384233	0.0137613260437213	0.139722748687799	-0.0201508929740377	0.078636044826776	0.471369512340336	-0.129519754637658	0.267707257112723
6	0.00138318444809424	-0.337073867959337	0.382404652369613	-0.16086282292972	-0.174532930624875	-0.00421757650935134	0.160007857092371	0.000450466879708025	-0.121791624023757	0.0235583736086385	0.0307496707042768	-0.0251597190170962	-0.0469735608614835	-0.0448421021165142	0.618956798205681	-0.486000181157594	2.33196182104628e-05	0.116735137668317	0.0638273105079198
7	0.00117875645913285	0.137800932299895	0.100504902553777	0.00308105846470737	-0.315199585942686	-0.197188325691046	-0.0635276112633549	0.10677063075296	-0.0414783332970534	0.0126725532645622	-0.0865540612208186	0.119692056383456	0.489819529820053	-0.661120087443374	-0.103120107313712	0.0167239723872664	0.222985512748585	0.236026854040135	0.013564328579556
8	0.00111596222357998	-0.257046677949462	-0.05200462833143	0.296192155348502	0.0125937429184844	-0.0554655898501832	0.388926359177546	-0.116619865440185	0.000753792530700393	-0.306763682413778	-0.201161088973043	-0.264223548075828	0.517340863781112	0.241814801727457	-0.136231487657675	-0.137154413864858	0.171951569820883	-0.243318999544408	0.136936489028451
9	0.000816789329948842	0.0680944906843116	0.117328780284158	0.0106040992618152	0.693350428058506	-0.084456810396564	-0.340376990759228	-0.227066722592211	-0.108500793890179	-0.035169283804095	0.137695444748795	-0.0613368421798759	0.339479529620116	-0.218755486889992	0.210177693981534	-0.0796540069489414	-0.190506697326674	-0.196142213555815	-0.0456643991949151
10	0.000727988838800361	-0.131500298389673	0.0958965124458253	-0.165227823990028	0.307739483316473	0.00958270233871087	0.516556667964967	-0.112889736488202	0.303603343428704	0.202450078619687	-0.323033918700078	0.291120807522919	-0.182584429010513	-0.364739114424303	-0.175892927404711	-0.0297381221286459	-0.122405063951111	-0.181627759785583	0.0584099083549746
11	0.000569773183718402	0.0304005540345642	-0.00405288141965791	-0.0699728614012786	0.0147791992104247	-0.383850696953753	-0.108123103862986	0.573514583742354	0.0349530525162147	0.0980629667597151	0.0192053319514841	0.0246726264534712	-0.0922423913808122	0.00613845882890667	0.11070820308674	-0.026305543665874	0.27694625133984	-0.618611180945281	0.115345230819446
12	0.000518645349330916	-0.0880307168079078	-0.645634573981546	0.0344609190335586	-0.0787145446815036	0.0771178869485503	0.282090570927823	-0.0247331258421356	-0.0416269871433687	0.0771171183289491	0.429622877454329	-0.118535580358237	0.0214134573985243	-0.311981163881204	0.296517999799795	0.119817057896366	-0.147173576659605	-0.091957216093817	0.213064982676737
13	0.00045707196314266	0.276803607166265	-0.202842819661475	-0.0633324982078372	-0.169830844593886	0.313429563480061	-0.179162389949225	-0.0692402219645407	-0.0413299073023497	0.357515260141232	-0.605038020037152	-0.0470684545374897	0.20048418717547	0.0972391261402284	0.287517891523919	-0.0209175445784588	-0.136036016158534	-0.17923475770364	0.181806129380024
14	0.000434519764757829	-0.333161875570629	0.14418509003381	0.113442600267184	0.0258163302185184	-0.300921682442405	0.0095064382751763	-0.0183211491659593	-0.543351997820398	0.410118940248853	-0.0521954932906586	0.0310885122476328	0.00634851108308877	0.0961730061657606	-0.151727509496764	0.321179094206271	-0.195916830080808	0.106208289430048	0.33383830655547
15	0.000421114342686441	-0.154300490071017	-0.234766687080366	0.0134665974192298	0.192161566622382	-0.0459244587671825	0.134788273359031	-0.0375058732986414	-0.214484387851393	0.286120363124683	-0.162028053045496	-0.0427961981428233	0.00110025459003554	0.0239482256862316	0.189855498143195	0.133000403283607	0.463858865779524	0.108170452668293	-0.652040689142386
16	0.00035718262978105	0.186032996416148	0.243968813580921	-0.0178339857258653	-0.0375382941749649	0.210827437210533	0.129319219649456	0.0275642841064861	-0.02404160534395	0.470655245239431	0.25241949763344	-0.610612080985369	-0.00745019851867847	-0.10693738349033	-0.314355304583702	-0.228861253548984	0.0239429923435257	-0.114124507988757	-0.0852626742526271
17	0.0003447479221609	-0.496053130651941	0.253520469453243	-0.0323334534507281	-0.161047580991078	0.478879413636238	-0.231949299210085	-0.00118110440906739	0.14080217824065	-0.0533177336078431	0.059259445870887	-0.0383304318688452	0.0699228833105407	-0.162704259079129	0.0335664833329138	0.466544265539632	0.0625255342362645	-0.299076739409961	-0.0916084045753145
18	0.000327251685147563	-0.182924692908012	-0.0411041272853806	-0.0557168806676407	0.0646932429113514	-0.38188044586647	-0.144274598450889	0.0184286320883743	0.58303885486004	0.0983255881428263	-0.169036306806443	-0.486133361933675	-0.01563743834625	0.013983871368955	0.156856633192465	0.205027310653093	-0.067002084632915	0.310730926439905	0.0891490775000053
