PC	percent.variation	SRR1554534	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541	SRR1554544	SRR1554546	SRR1554549	SRR1554551	SRR1554553	SRR1554554	SRR1554556	SRR1554561	SRR1554566	SRR1554567	SRR1554568
1	0.943723781602117	-0.232144355043908	-0.23573203418244	-0.227165910076594	-0.237009789821524	-0.236609336314526	-0.234959455191965	-0.236494617585531	-0.238078209344785	-0.237784028775258	-0.238262572218227	-0.237876654649739	-0.23845542514635	-0.236932871592432	-0.234859818633815	-0.232110111652954	-0.23480125102347	-0.237882779924476	-0.235186511229801
2	0.0338025904514068	0.257485079146049	0.239855821702484	0.225068960675898	-0.327940028705837	-0.325523837403452	0.20148317515621	-0.260238099075101	0.121002735546766	0.0755720896186735	0.118777776963092	0.0872373752290051	0.0750441224433754	0.0867126022240038	0.210836051468768	0.242453136677957	-0.348476637419711	-0.287250513234868	-0.375870464238882
3	0.00712937020649032	0.279317771904277	0.14639230540112	-0.483611238105326	0.0973230639716753	0.0300077520496274	0.332029884146522	0.16699134756181	-0.294877217533344	-0.371810934289242	-0.119218133740256	-0.311436029275169	0.0191432432057121	-0.00633093844117032	0.114648736062035	0.404457229618998	-0.0539253357159283	0.0387160774706064	0.0149711450577552
4	0.00547709071133362	-0.217522615955851	-0.143508437454992	-0.48529049630999	-0.0417139001915101	-0.0117067939812915	0.0583609734005064	0.282474043885889	0.116614132589178	0.154571939488615	0.153333633133416	0.185134337132703	0.44481574685427	0.303593655939234	-0.189334938038177	-0.12130238159093	-0.342366985028984	0.0512179511225039	-0.236219911593499
5	0.00196358484307705	0.18620200512053	-0.144420742871868	-0.375327928996536	-0.0568977883696856	-0.156614738074558	-0.0862939872097906	-0.53379105536178	0.107587568075935	0.105177333265395	0.179377315592619	0.11123613613136	0.0977499144242127	0.126765206775103	-0.31027970249635	0.249504059983655	0.406899101979631	-0.135518006882795	0.21951317140156
6	0.00173420975174423	-0.312997790030734	0.310201485143916	-0.297276804581226	-0.195949547586954	-0.0699655287898599	0.174828807481895	-0.247486398356992	-0.100813344105951	0.0218442847297319	0.0916699360947763	-0.017313725796338	0.0445362361726438	0.0652195019523302	0.558128677745859	-0.422862998410638	0.187118987741752	0.0175796575291965	0.176362956246839
7	0.00113055315592311	0.165383824627946	0.157700985691822	-0.149019990987842	-0.359703206185796	-0.158340821839115	-0.121524271550332	0.194948260411371	0.00625840868697195	0.126850334815749	0.0129436470629559	0.213625217546668	0.182041101399417	-0.694869858820802	-0.0400090953802608	0.0347083187932183	0.124866439452265	0.346075600217744	-0.0475244449850441
8	0.00100767172127435	-0.206001867163743	-0.0107704662175102	0.276310725764547	-0.299735140054458	-0.100291005769506	0.530522940541479	0.0691581425623976	0.0912064610909954	-0.195819519914233	-0.341767973728388	-0.0747809174225088	0.339991014402871	0.0292751145093764	-0.341497461702813	-0.0627681155157876	0.24913664450375	-0.0823860104540496	0.141539739407106
9	0.000760441491918638	0.0804092004407023	-0.176983318759672	0.0498473122949969	-0.701381016020333	0.14916494997117	-0.171138720408909	0.201341123006629	-0.125973172602042	-0.013814792575219	0.10779146735815	-0.121613332169247	-0.247270975552497	0.42562656977934	0.0408124118159177	0.112609523886176	0.108787391029696	0.251750192865906	0.0372165502168648
10	0.000628665421482905	-0.0673570437972611	-0.0183273365547419	-0.180263660826192	-0.103334587553111	0.387993324917198	0.382893302597089	-0.272722789735429	0.200332366165596	0.247582433831119	-0.308563461491096	0.244761948314085	-0.410678467070056	-0.0918266622433587	-0.0890953637159259	0.0854407288962847	-0.287454528172379	0.212242730810328	0.0622593627807685
11	0.000523631068821691	7.20528050142515e-06	0.118882245565666	0.172516985847914	0.0511392843118994	0.248628711036242	-0.0870120289502761	-0.494038299416821	-0.103085059815939	-0.264329314630046	0.108464814227804	-0.175624023049424	0.338338431326038	0.0493389342797019	-0.128533963203349	-0.0538296598434427	-0.120104691824814	0.562039063416978	-0.224242486052316
