Gene	Length	SRR1554534	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541	SRR1554544	SRR1554546	SRR1554549	SRR1554551	SRR1554553	SRR1554554	SRR1554556	SRR1554561	SRR1554566	SRR1554567	SRR1554568
HLA-DQA1	6469	26	0	5	0	1	6	0	24	7	1	0	0	0	49	0	0	2	0
HLA-DQA2	9214	3	2	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0
HLA-DQB1	6465	98	2	31	0	1	1	7	16	0	0	0	0	0	170	0	0	8	0
HLA-DQB2	16386	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
HLA-DRA	8968	129	299	80	9	16	108	14	133	49	159	33	7	73	528	102	37	31	5
HLA-DRB1	8252	168	28	11	2	49	12	10	37	66	20	10	3	32	320	10	9	56	19
HLA-DRB3	1352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DRB4	2378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLA-DRB5	1362	117	0	0	0	12	0	1	0	29	3	0	0	0	188	0	0	12	5
HLA-DRB6	1909	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
HLA-E	19544	3347	3200	2710	824	1211	2565	1040	4346	3820	4290	3405	427	3677	5285	3017	1392	1200	629
HLA-F	30965	296	278	292	10	18	195	5	339	181	529	194	20	168	340	248	8	31	10
HLA-F-AS1	22989	7	7	15	1	2	17	1	19	25	27	11	2	18	8	14	0	11	0
HLA-G	16689	1	0	2	0	0	0	0	0	0	2	1	0	1	2	1	0	8	0
HLA-H	19809	29	38	15	8	4	17	6	27	23	45	14	0	36	19	27	5	6	0
HLA-J	13607	10	9	6	62	39	3	31	17	10	15	14	3	46	11	22	49	19	41
HLA-L	28570	65	151	16	125	169	168	245	175	144	241	170	43	183	232	195	189	160	125
HLCS	7368	383	465	115	1103	1172	683	1418	461	357	736	381	97	933	972	681	1024	1175	1110
HLF	5812	3970	6528	523	469	259	8613	843	2567	2013	4068	2306	636	9666	6052	7923	200	542	221
HLTF	5351	803	1695	482	4126	5378	1887	5680	1686	2186	2309	2088	339	2042	2606	1143	4924	6061	4901
HLTF-AS1	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HLX	2278	20	30	15	25	49	22	17	49	40	64	39	7	52	20	15	92	30	15
HM13	3331	1030	1391	370	1982	1938	1142	2062	1305	1069	2221	1254	240	1675	1631	1571	1944	1931	1274
HM13-AS1	489	4	14	2	48	48	17	50	12	21	25	18	3	41	19	13	58	64	37
HMBOX1	3944	104	89	21	659	1462	202	796	158	133	186	119	12	433	252	183	316	448	444
HMBS	2307	264	302	107	433	369	203	455	235	336	496	341	54	262	477	272	968	417	563
HMCES	1858	1109	1497	275	1179	1539	1216	1376	730	730	924	698	124	973	1358	1659	1744	1551	1033
HMCN1	18415	23	42	23	111	290	33	280	166	296	121	218	14	118	71	49	165	130	121
HMG20A	4511	981	1619	368	3819	4528	1614	4579	1302	1346	1820	1402	293	1644	2159	1460	4304	4893	3200
HMG20B	2472	393	514	320	830	1064	242	363	590	565	831	596	43	538	800	463	1917	918	1097
HMGA1	2494	1750	1576	176	3431	4038	1356	4109	1154	1044	2085	1102	251	1928	1367	2182	7377	4828	5556
HMGA1P7	2189	33	29	4	2	0	16	0	19	15	66	15	0	18	102	33	1	0	1
HMGA2	14824	2	4	0	225	212	2	53	7	20	21	16	2	12	7	1	2112	299	1260
HMGB1	5141	4063	8814	3359	20716	21610	5442	24926	12120	14124	16043	12800	2363	12963	10316	4124	32083	25781	25059
HMGB2	1653	356	555	308	3844	4769	424	511	668	678	760	708	74	1130	681	435	13963	4413	6950
HMGB3	5139	551	611	265	4292	6481	604	5215	1392	1667	2092	1627	460	1189	727	600	7972	7596	5424
HMGB3P1	888	1	0	0	4	6	2	4	1	0	0	0	0	2	2	0	1	5	2
HMGB4	2343	0	0	0	1	4	0	3	1	7	2	0	0	1	0	0	1	2	0
HMGCL	3077	280	517	241	220	287	270	203	363	310	378	281	30	341	621	349	401	360	227
HMGCLL1	4630	289	708	34	855	884	578	2002	471	350	807	558	195	1059	537	371	892	951	689
HMGCR	4871	1906	3800	418	11027	18962	4389	34650	4430	5291	8033	5036	1573	4074	4334	3209	11482	18666	9662
HMGCS1	5457	2886	7075	1107	15822	28557	7221	55046	13356	15345	27044	16076	3605	7910	8682	4612	18326	26133	17236
HMGCS2	2466	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	59	1	0
HMGN1	2003	594	1570	779	11332	12770	1221	10877	2700	4291	4355	3521	539	3022	2118	878	16670	17947	12288
HMGN2	1969	973	1708	994	11008	11360	1267	5702	2770	2758	4250	3021	451	4136	3120	1213	15924	10035	8611
HMGN2P46	2562	8	16	7	13	34	5	25	10	11	11	12	0	11	16	12	19	28	16
HMGN3	1470	812	1840	985	2142	3151	1028	2407	2295	2638	2456	2701	268	1756	2225	771	4935	4061	2844
HMGN3-AS1	2993	35	63	6	77	110	67	215	79	82	84	81	18	115	67	46	81	124	58
HMGN4	1968	383	998	285	2120	2810	765	2947	958	909	1288	1061	189	1497	1021	628	2427	2613	1964
HMGN5	2126	115	323	276	308	402	161	147	714	776	569	813	53	458	203	110	1105	478	597
HMGXB3	5406	1145	1471	297	3089	2946	1338	2619	1136	1152	2001	1214	288	1467	1831	1791	4181	3322	3207
HMGXB4	4251	324	521	143	2272	2399	535	2452	541	690	922	652	122	807	956	469	2147	2619	1855
HMHB1	384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HMMR	3143	4	24	2	188	205	14	58	20	49	49	38	1	75	24	8	601	209	301
HMOX1	1590	39	93	45	53	86	40	29	93	173	175	61	14	193	177	57	101	56	61
HMOX2	2486	2559	2871	316	1109	1426	2428	1897	1518	970	2362	1050	283	2104	3463	3533	1141	1567	776
HMSD	625	3	21	9	6	19	18	11	16	14	10	25	1	23	48	3	26	15	17
HMX1	1896	28	26	11	9	11	8	9	12	33	33	18	4	7	20	26	18	12	7
HMX2	1628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HMX3	1074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNF1A	4067	106	163	44	108	148	127	132	112	86	148	116	14	206	144	176	165	143	80
HNF1A-AS1	2455	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HNF1B	3941	1	10	1	1	3	0	2	10	5	9	9	3	11	0	2	3	5	2
HNF4A	5470	16	16	1	0	0	22	2	6	2	12	3	1	46	32	35	4	1	1
HNF4G	4357	6	26	16	9	14	3	5	37	48	15	40	1	33	19	5	14	9	10
HNMT	4178	212	411	169	527	757	487	667	793	990	1388	893	167	1683	657	323	158	654	253
HNRNPA0	2967	1946	2827	682	17624	18982	2879	16796	3561	3394	5629	3533	906	5312	4066	3296	19329	20046	17785
HNRNPA1	2363	6329	9509	3827	71370	78060	6826	64074	13129	13924	18768	14245	2337	19605	14629	7371	105731	78126	73097
HNRNPA1L2	2379	317	486	81	1007	1382	384	1261	494	475	631	460	88	594	565	416	1359	1457	918
HNRNPA1P33	542	0	0	0	3	9	0	5	1	7	0	6	0	1	1	0	1	17	0
HNRNPA2B1	3702	9565	16451	5332	46858	57094	10857	51569	21339	23800	28005	22968	3695	27464	24618	10551	79214	62206	57449
HNRNPA3	5820	4334	7918	2766	25059	31473	7730	29855	9102	9921	13595	9486	1909	13558	11080	5626	36541	33013	29062
HNRNPA3P1	3006	0	1	0	0	0	2	2	0	2	1	0	1	0	1	0	3	0	3
HNRNPAB	1890	970	1214	314	6325	7137	896	6522	1494	1639	2439	1531	272	1364	1579	1064	8744	7693	6369
HNRNPC	3688	5258	8750	3029	21918	27953	6965	25249	9767	8737	14106	8866	1708	15780	10538	7872	20015	21061	15355
HNRNPCL1	1108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPCL2	1156	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0
HNRNPCL3	1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPD	2806	2393	4247	1032	13723	15169	2858	12184	4210	4414	5563	4701	733	5176	4639	3014	20309	17457	16136
HNRNPDL	4245	5526	9327	2115	25410	23744	7990	25531	7980	9364	13282	9601	1861	9765	13633	6462	34162	35906	29593
HNRNPF	3369	834	1343	528	5919	6145	791	4389	1854	2002	2477	1910	240	2186	2391	982	6351	5615	5456
HNRNPH1	3904	2895	4594	1617	28573	32589	3783	26119	6139	7293	9159	6462	1284	9737	7513	4321	29597	30541	30940
HNRNPH2	2392	5	4	4	17	21	14	8	2	2	8	4	1	6	13	3	5	9	5
HNRNPH3	3442	2130	4239	1582	14531	17982	2552	16257	5049	4654	6512	4708	738	7333	5713	2973	15981	17617	15972
HNRNPK	4260	8249	12489	3359	30587	36502	10522	34291	13110	13953	18075	12762	2480	16537	17130	10912	32434	37629	29078
HNRNPKP3	1882	1	0	0	2	1	1	1	1	5	4	8	1	3	4	0	0	13	0
