Gene	Length	SRR1554534	SRR1554535	SRR1554536	SRR1554537	SRR1554538	SRR1554539	SRR1554541	SRR1554544	SRR1554546	SRR1554549	SRR1554551	SRR1554553	SRR1554554	SRR1554556	SRR1554561	SRR1554566	SRR1554567	SRR1554568
A1BG	4027	179	158	35	337	201	159	385	317	259	420	249	52	387	302	301	379	161	239
A1BG-AS1	2793	101	75	5	120	60	85	155	84	65	142	64	15	151	142	168	114	40	96
A1CF	9567	4	0	0	11	8	3	6	3	8	3	8	1	4	2	3	6	1	3
A2M	4653	2238	3321	2867	1891	3162	3208	3121	4804	6632	5020	4957	707	6413	7563	1770	2961	2376	1736
A2M-AS1	2187	12	39	15	10	16	41	20	36	40	56	36	3	73	45	27	22	24	21
A2ML1	6309	99	152	156	71	88	46	57	307	294	281	335	19	190	188	123	26	89	36
A2MP1	1201	1	7	1	6	11	9	9	7	7	8	5	0	9	4	1	6	1	2
A3GALT2	1023	3	3	0	9	17	1	4	2	1	7	3	0	9	5	1	25	15	12
A4GALT	2549	85	77	118	26	58	34	47	94	106	90	108	11	36	105	95	57	28	29
A4GNT	1771	1	2	1	0	6	4	10	0	2	1	0	0	3	3	0	7	3	4
AA06	632	0	1	0	0	2	2	2	0	0	2	1	0	0	0	0	0	1	0
AAAS	1837	589	608	308	1982	1998	393	1482	609	542	847	557	90	785	1079	596	2305	1828	1754
AACS	4372	2032	2203	284	2531	2576	2411	2939	1318	1029	2458	1053	381	2013	2344	3253	3104	2285	1941
AACSP1	2823	16	11	3	3	23	11	7	8	8	14	13	2	16	22	17	30	11	6
AADAC	1606	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AADACL2	1500	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AADACL3	4049	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AADACL4	1575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACP1	1289	1	2	0	0	1	2	2	0	0	1	2	0	4	0	0	0	0	0
AADAT	2416	331	546	208	1105	2004	435	2130	900	1000	858	1040	164	879	713	432	1301	2347	1580
AAGAB	3406	840	1407	282	635	1351	1756	2173	1013	906	1613	940	323	1343	1853	1142	1170	1640	840
AAK1	21636	4751	6665	525	5572	8422	9753	9852	4694	4281	7615	4824	1423	11385	8050	8429	3895	6464	4938
AAMDC	1159	67	150	106	240	312	63	151	178	163	244	183	22	195	287	102	306	265	227
AAMP	1796	2243	2613	677	3061	3551	2016	3485	1998	1683	2887	1646	364	2484	2973	3170	3934	3930	2751
AANAT	2149	7	10	0	4	6	7	5	9	21	44	10	0	25	11	8	7	2	4
AAR2	2765	328	465	185	1376	1494	383	1605	596	574	1015	572	132	828	741	506	1353	1587	969
AARD	1786	31	45	11	12	4	51	34	121	117	167	153	47	203	74	27	22	30	5
AARS	3416	9778	9568	1414	5993	7063	10067	7834	4237	3387	6456	3438	958	6395	12155	15276	6325	6335	5134
AARS2	4782	621	778	237	1290	1726	648	1315	663	581	1060	594	133	839	762	1015	2038	1482	1356
AARSD1	1595	2	3	0	37	56	10	32	16	17	18	11	3	11	13	1	40	48	62
AASDH	5900	153	324	134	1038	1362	333	1079	348	449	544	406	71	616	514	262	1074	1108	904
AASDHPPT	2868	1355	4537	500	6604	7759	4126	13560	4788	4598	6322	5235	1288	6857	4636	2055	5825	9146	5103
AASS	6056	324	986	548	1379	2113	453	585	1584	2434	3689	2042	144	1339	1953	255	3871	1848	3854
AATBC	4874	33	42	3	202	219	41	215	18	28	91	43	8	163	56	81	76	138	64
AATF	2141	613	747	201	1215	1731	546	1305	494	443	887	375	80	796	991	702	2815	1791	1755
AATK	5358	7946	8352	734	1286	1046	5382	1369	1947	1327	6294	1503	330	3300	15683	11756	958	1132	655
ABAT	5930	9212	8849	3881	6816	9684	10434	11746	13419	12604	17500	13424	2064	23455	10257	14155	9381	9956	7825
ABCA1	10743	204	385	373	912	3679	279	1870	1076	1173	1284	994	73	1433	735	281	1769	3512	3054
ABCA10	7070	78	136	36	39	42	110	84	143	159	181	138	17	152	159	123	18	69	26
ABCA11P	2356	177	203	56	431	376	261	526	206	259	364	307	59	184	251	195	637	675	381
ABCA12	9370	7	14	7	45	103	10	146	25	29	41	30	3	15	19	9	58	84	94
ABCA13	21647	2	0	1	1	2	0	7	31	49	16	45	1	9	0	0	7	9	11
ABCA17P	5442	70	129	21	135	104	98	140	179	164	248	194	38	338	122	94	71	89	78
ABCA2	10620	22221	26659	2063	7235	7461	16284	7867	5286	4701	13732	4802	1025	9804	67281	27647	6079	6125	5483
ABCA3	7189	6771	5767	1091	8279	8922	6188	11689	4742	4287	7846	4766	1180	7621	7280	11205	6189	7769	5342
ABCA4	8593	39	39	20	17	37	24	77	43	55	45	51	3	37	23	64	363	55	30
ABCA5	9703	815	1575	189	1236	1266	2258	2974	1405	1568	1921	1577	425	2705	1956	1304	346	1252	490
ABCA6	6164	22	56	20	8	22	69	42	37	37	63	24	9	50	124	32	16	27	18
ABCA7	7202	675	678	105	438	225	569	248	362	211	648	310	62	305	790	1092	1289	187	723
ABCA8	6857	456	1576	204	34	93	904	249	158	133	190	176	18	84	4771	528	69	429	108
ABCA9	6874	201	393	318	112	308	474	567	472	532	434	405	46	423	420	363	163	301	227
ABCB1	4716	574	665	593	233	351	744	490	1223	1568	924	1079	129	855	1386	472	301	286	183
ABCB10	3857	245	726	148	1000	1343	476	1675	596	690	807	693	133	761	752	367	1354	1944	1089
ABCB11	4927	6	4	0	8	24	5	6	0	1	0	6	0	2	2	0	28	40	37
ABCB4	4536	10	6	7	82	54	22	20	19	54	37	20	4	50	21	16	218	113	136
ABCB5	8878	0	1	2	2	7	1	1	1	1	0	2	0	2	1	0	3	14	0
ABCB6	4480	859	1220	231	2228	2114	865	1674	1053	1171	1663	1171	159	1487	1187	1264	2120	2200	1791
ABCB7	2528	180	308	105	1074	1291	280	964	399	375	491	332	56	548	480	161	1068	935	1084
ABCB8	5393	1140	1224	384	2906	2556	1093	2361	1126	1113	1922	1024	219	1650	1738	1792	2724	2284	1955
ABCB9	6034	997	907	244	1393	1475	871	1245	478	437	918	482	132	636	1073	1398	1021	1298	773
ABCC1	6859	506	396	64	1817	1695	532	1583	384	412	757	360	94	708	650	920	1135	1534	1058
ABCC10	6847	720	881	169	2856	3129	805	2850	917	1092	1616	964	189	1452	1073	1220	2406	2375	1800
ABCC11	5038	19	46	17	30	16	13	20	4	20	20	14	1	25	44	28	26	18	11
ABCC12	6125	220	248	46	14	17	414	25	183	144	189	92	22	183	239	347	10	60	4
ABCC13	5397	0	2	4	0	1	5	3	4	1	18	0	0	1	1	0	6	0	7
ABCC2	5051	5	18	0	15	55	5	24	11	10	15	8	0	17	31	12	42	33	32
ABCC3	6170	29	55	8	3	1	51	4	66	66	112	48	6	98	43	70	5	8	2
ABCC4	6518	53	104	66	390	582	107	415	335	391	515	346	47	521	177	40	1298	534	667
ABCC5	10564	2817	3404	641	7960	10021	4142	8826	2668	3211	5006	3099	498	6438	4600	4835	6587	8564	7290
ABCC5-AS1	469	0	0	0	0	8	0	4	4	1	1	0	0	5	0	0	4	4	1
ABCC6	5579	32	21	11	26	31	18	26	30	42	31	23	2	49	27	23	39	30	14
ABCC6P1	2840	16	6	4	3	1	18	4	19	10	19	20	3	12	20	7	3	4	2
ABCC6P2	706	1	1	3	0	0	3	1	2	2	6	5	0	2	4	5	1	3	1
ABCC8	5144	1877	1689	253	1026	892	1865	1216	755	906	1429	758	166	1504	1836	3539	344	818	365
ABCC9	11432	372	530	353	377	728	311	695	1337	1468	1221	1358	142	861	744	280	363	411	307
ABCD1	3664	164	161	61	457	493	97	370	232	230	361	185	19	205	241	204	527	528	381
ABCD2	5341	268	626	268	541	629	690	969	1379	1230	1023	1307	193	981	673	320	1034	844	999
ABCD3	5546	708	1586	663	3491	4612	1248	4394	2245	2353	2318	2326	325	2018	2617	877	4179	4237	3097
ABCD4	3328	549	682	263	2126	3140	461	1669	757	870	1515	1045	101	1556	1299	974	4337	2881	2628
ABCE1	4404	710	1684	286	3284	3986	1564	4863	1618	1657	2593	1769	354	2061	2532	949	3932	4178	3264
ABCF1	24273	1561	1720	351	3408	3774	1537	3719	1410	1076	2087	1173	295	1890	2311	2098	5387	3797	3353
ABCF2	3970	1523	1859	396	2478	2266	1865	2686	1110	915	1663	970	221	1537	2226	2236	2698	2340	1991
ABCF3	2579	1880	2024	374	2139	2495	1820	2180	1107	1065	1816	1075	235	1757	2397	2701	3230	2511	1923
ABCG1	4417	341	440	116	434	725	523	641	335	502	554	346	46	829	1134	706	395	602	447
ABCG2	4863	765	1229	1255	451	660	1056	1064	2134	2316	1267	1997	166	671	2224	638	423	674	246
ABCG4	3935	945	924	95	303	490	844	792	589	474	961	513	154	813	837	1354	313	479	376
ABCG5	3718	22	21	6	11	14	32	32	17	12	29	19	9	34	28	27	12	22	15
ABCG8	2665	23	26	5	6	16	39	40	11	4	28	8	5	51	24	42	15	14	12
ABHD1	1470	29	35	36	23	24	15	16	32	27	36	35	6	26	48	30	34	28	11
ABHD10	2806	580	1668	313	1745	1957	1288	2125	1085	1064	1646	1066	225	1484	1724	828	1686	1979	1562
ABHD11	1754	335	396	183	166	210	274	216	419	451	526	480	71	303	395	412	273	250	176
ABHD11-AS1	473	1	0	0	2	3	0	6	6	1	3	5	0	3	1	4	6	2	6
ABHD12	2411	2902	3721	794	1460	1247	2858	1816	2511	1856	3454	2141	468	2297	4180	3626	1458	1621	940
ABHD12B	1708	112	184	10	1	8	222	4	155	93	186	67	42	164	192	152	3	6	0
ABHD13	5302	268	644	127	1058	1159	780	1341	796	782	1100	811	166	1003	876	420	824	1176	731
ABHD14A	1741	222	377	152	282	246	268	347	475	371	581	425	58	384	462	256	155	259	158
ABHD14A-ACY1	1879	0	1	0	1	0	1	0	1	0	1	0	0	1	0	4	1	2	3
ABHD14B	2983	281	308	203	255	220	229	279	347	346	378	349	45	331	443	326	283	326	235
ABHD15	3355	98	146	55	57	69	66	31	134	132	139	108	7	156	155	90	103	57	60
ABHD16A	23002	1197	1411	353	3218	3129	1244	2213	1226	1150	2128	1018	258	1580	1782	1827	3639	2917	2695
ABHD16B	1776	168	155	38	109	100	124	55	113	102	121	143	21	60	151	224	219	132	127
ABHD17A	1798	2726	2928	1203	1422	1265	2050	1302	2576	1886	3669	2316	285	2235	2736	4356	1346	1374	1057
ABHD17B	3260	448	1190	175	1910	2130	845	2584	791	884	1675	790	156	1319	2698	668	1469	2033	1553
ABHD17C	2360	348	741	348	904	1389	560	1827	1114	1302	1387	1173	164	1151	684	464	2071	2002	1568
ABHD18	2966	118	189	39	689	837	189	750	201	234	324	237	53	420	292	142	613	809	677
ABHD2	9133	3205	3752	1628	7617	10161	5439	11310	6070	6604	8104	6543	1186	8460	5989	6271	5913	8145	6673
ABHD3	3595	126	385	190	542	658	145	230	1052	1009	632	1034	64	690	393	167	975	509	788
ABHD4	2928	288	397	393	330	832	214	381	775	737	1231	757	51	775	707	325	759	860	617
ABHD5	5353	201	497	243	882	1296	329	1290	918	850	1205	887	157	880	799	248	831	1194	716
ABHD6	2458	806	1380	199	1444	1290	1092	1331	784	628	1387	768	143	1218	2258	1201	1701	1323	1032
ABHD8	2090	3020	2665	751	1250	1089	2276	1389	2069	1485	2664	1775	284	2435	2528	4870	1174	1172	949
ABI1	3776	1696	3169	951	2582	3443	2569	3548	3417	3579	4027	3726	616	4576	2983	2561	2028	3438	2137
ABI2	6915	5105	7295	1969	18698	20431	11798	29264	10334	10662	14686	11156	2892	19368	10085	8553	12910	19371	13631
ABI3	2109	49	31	18	19	35	16	17	44	73	80	19	5	134	56	22	34	19	19
ABI3BP	9641	27	90	39	544	685	74	667	311	541	540	419	101	683	130	54	107	645	374
ABITRAM	1911	357	696	176	702	601	608	730	502	530	660	499	81	705	734	479	492	734	533
ABL1	5963	1815	1833	806	6450	8892	1261	5399	1826	1839	2603	1739	218	2092	4098	2436	9967	7223	7751
ABL2	13133	819	989	194	4492	6015	1561	6973	1084	1348	1790	1314	282	2348	1834	1345	3360	4961	3363
ABLIM1	9494	4150	6203	3033	9901	8255	5915	20461	9852	8908	9693	9425	1399	12120	7651	5469	3434	8459	3277
ABLIM2	5776	3500	2723	340	614	526	3113	1090	1085	719	2187	742	260	1840	2798	5580	464	585	337
ABLIM3	4770	1256	1278	390	1384	2317	1435	3116	1339	1090	2156	1440	281	2820	1815	1992	2406	2999	1857
ABO	1579	14	33	33	3	6	20	12	41	33	51	31	1	16	32	18	5	9	6
ABR	7553	19085	17435	5360	18251	17431	20539	20832	13755	10102	23643	11753	2854	20861	18878	34138	15661	18007	12332
ABRA	2754	12	9	0	1	0	7	0	8	0	10	0	1	16	12	12	1	7	0
ABRACL	845	152	375	64	1250	1227	321	1170	449	330	552	409	65	377	376	234	1878	1343	1467
ABRAXAS1	2823	58	126	27	432	504	164	488	114	153	165	148	27	180	188	73	482	485	396
ABRAXAS2	2992	413	579	104	1033	1237	710	1393	582	589	822	609	143	800	802	635	1096	1311	966
ABT1	2263	383	391	129	674	674	307	509	298	277	498	280	47	266	483	508	668	622	533
ABTB1	2257	2243	2442	617	586	1079	2188	857	765	597	1073	637	121	1939	2637	3722	1613	878	1243
ABTB2	4903	376	502	160	1121	1356	293	354	546	519	744	549	34	530	1100	491	2251	791	1539
ACAA1	1819	1389	1873	598	1368	1690	1157	1385	1426	1429	1858	1335	206	1418	2126	1614	2080	1777	1292
ACAA2	1934	440	1117	947	932	1232	447	743	1655	1246	1363	1317	105	1369	1287	424	1836	1144	1009
ACACA	11753	3890	3822	722	9197	15079	5066	22248	3436	3054	5415	3434	876	6141	5071	6014	9934	12185	9065
ACACB	9535	1140	852	715	724	855	478	242	1042	1173	1054	1062	67	1557	1326	1102	950	526	577
ACAD10	5371	327	406	186	1137	1256	365	854	522	495	661	423	50	539	583	458	1797	1338	1262
ACAD11	3556	430	787	249	986	1047	448	722	560	715	804	600	87	628	1137	454	1312	1217	1278
ACAD8	4355	1043	1218	299	2053	2242	1180	2246	1271	1305	2154	1263	247	1707	1514	1753	2338	2441	2079
ACAD9	3567	650	957	243	1038	1059	866	1328	725	911	1441	698	162	716	1112	1117	1743	1352	982
ACADL	2980	11	23	30	92	246	27	77	99	148	138	144	19	153	59	18	143	208	94
ACADM	3259	842	1897	915	1886	2263	1287	2413	2172	2491	2460	2227	289	2160	2161	1145	2809	3215	2236
ACADS	2057	218	298	261	112	209	200	83	272	276	445	253	27	196	448	251	245	207	133
ACADSB	5941	898	1627	395	1218	1428	1850	1663	1172	1288	1630	1352	301	1360	2108	1331	1161	1854	987
ACADVL	3245	5032	6439	3215	6272	6586	3818	5221	6203	7611	9213	6513	785	7623	7195	6063	7360	6371	4721
ACAN	10633	99	76	31	9	24	49	37	144	174	1199	153	16	380	67	75	21	11	14
ACAP1	2508	53	66	59	119	144	59	199	88	121	142	129	15	97	117	74	130	177	101
ACAP2	8186	424	1448	436	2650	3837	1014	3130	2040	2626	2277	2138	233	2352	2137	685	2396	3472	2590
ACAP3	6852	6916	7795	1710	12043	14658	6307	11119	6035	6635	12787	6785	969	7966	8562	13520	17033	12054	11960
ACAT1	4391	783	1573	638	2455	2863	1251	4292	1458	1379	1906	1449	308	1905	1966	956	2339	3636	1824
ACAT2	2688	689	1401	168	2554	5090	1000	7742	883	961	2093	1105	248	522	1428	952	3683	4429	2579
ACBD3	3565	702	1104	293	2476	3052	1120	3461	1181	1190	1473	1176	294	2062	1372	1203	2441	3219	2139
ACBD4	3094	577	529	262	330	335	344	200	435	516	703	495	69	671	457	755	345	327	238
ACBD5	4380	1347	2533	1051	2344	3355	2035	3646	2611	2635	3102	2754	396	3872	3651	1724	2672	3270	2313
ACBD6	1616	531	714	109	1612	1579	509	1404	700	707	987	724	145	662	795	528	3139	2310	2191
ACBD7	4189	1458	2965	2726	752	801	1144	237	4847	4676	3309	2974	284	3221	1717	1413	1502	879	1213
ACCS	4319	123	172	98	214	281	133	301	161	218	305	233	33	150	210	162	454	248	175
ACCSL	1867	2	0	0	6	0	0	1	0	2	0	1	0	1	1	0	2	1	2
ACD	2912	772	746	178	1907	1878	550	1626	553	665	931	633	106	1040	829	1079	1619	1922	1389
ACE	9109	231	296	51	268	394	227	496	422	331	376	372	69	294	261	314	206	357	126
ACE2	3572	0	3	2	13	10	3	2	5	6	7	4	1	5	8	1	21	5	8
ACER1	1088	0	0	0	1	2	1	1	3	1	0	2	0	4	1	1	0	0	0
ACER2	3507	53	44	30	352	376	108	469	49	86	90	56	11	248	260	152	237	318	243
ACER3	4996	431	760	122	1066	1208	1158	1243	949	1014	1303	1007	145	1078	2452	727	842	1161	1083
ACHE	3495	966	1008	114	412	367	841	1082	423	317	759	454	102	1023	728	1730	382	391	271
ACIN1	6741	2791	2718	890	14223	17737	2629	11628	3603	3870	5465	3795	528	6198	4989	3986	16888	14695	15784
ACKR1	2210	431	322	46	419	693	236	595	177	231	615	180	117	526	239	359	675	677	579
ACKR2	7479	22	35	17	57	21	17	48	24	32	33	23	1	25	42	15	46	44	8
ACKR3	2304	225	264	398	373	516	130	400	368	277	428	241	22	280	273	191	483	832	340
ACKR4	2476	1	1	0	11	18	7	10	11	4	7	6	0	17	12	6	8	16	9
ACLY	4357	3251	3509	580	11639	16067	3985	17392	3159	3552	6413	3427	767	3876	4612	4816	19716	14188	14617
ACMSD	1357	4	2	1	115	87	8	34	8	11	8	14	1	17	3	8	23	38	20
ACO1	3946	586	852	455	1001	1405	562	1516	1135	1077	1219	1090	119	1281	1215	676	1659	1254	1199
ACO2	2741	6281	6773	2277	3268	3762	5360	3710	3651	2684	5750	2819	633	4262	6316	9004	4242	3613	2807
ACOD1	2102	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACOT1	2354	300	299	155	95	139	57	82	318	298	189	305	35	196	208	83	40	155	30
ACOT11	5152	86	115	118	34	29	72	21	162	135	175	170	11	141	142	260	45	22	10
ACOT12	2039	0	1	0	8	7	0	11	14	17	17	16	3	30	2	3	5	5	1
ACOT13	4393	447	954	363	570	714	704	759	1054	798	1115	941	110	1089	1155	735	635	679	539
ACOT2	2289	372	253	162	492	424	231	377	336	346	492	322	57	313	289	395	266	389	247
ACOT4	1632	56	150	26	13	18	111	42	91	67	90	79	24	82	130	82	12	30	1
ACOT6	1004	21	23	13	4	12	15	3	46	19	18	31	3	21	17	13	3	11	5
ACOT7	2462	3894	4803	352	3712	4101	4589	6417	2708	2094	5061	2510	784	4128	4754	6075	2936	4083	2082
ACOT8	3216	728	833	163	794	917	631	764	603	417	1043	513	105	849	884	1092	751	810	654
ACOT9	2003	291	418	180	711	985	382	887	598	635	686	595	92	612	458	383	784	779	613
ACOX1	7919	1089	1870	949	4084	4539	1459	4165	2543	2595	2638	2617	309	2662	2605	1577	3910	4590	3306
ACOX2	2309	77	103	112	14	47	51	28	62	133	166	130	12	142	132	64	42	76	33
ACOX3	3005	317	393	146	883	1003	347	942	352	374	456	382	55	443	515	455	791	826	704
ACOXL	3321	7	4	1	2	6	11	7	1	3	7	4	2	2	3	10	5	16	3
ACP1	2550	1572	2731	440	2909	3095	2048	3186	2234	1701	2829	2092	507	2860	2624	2260	3007	3421	2674
ACP2	2799	964	1017	247	948	1062	1011	1128	959	913	1536	944	259	923	1264	1309	1233	1282	885
ACP4	1347	6	2	0	21	34	9	34	7	9	19	18	1	17	14	7	22	26	21
ACP5	2139	8	5	8	1	8	3	6	10	7	7	7	1	6	18	9	6	8	1
ACP6	4116	96	198	128	151	280	63	191	258	192	283	187	13	166	308	119	340	245	273
ACP7	2961	37	55	9	0	1	17	0	18	17	29	4	1	21	164	30	1	0	0
ACPP	3818	0	2	0	2	13	2	1	1	3	6	0	1	35	16	1	1	3	2
ACR	1752	7	12	3	3	4	6	4	3	1	6	7	1	2	8	11	7	3	3
ACRBP	2063	10	24	6	147	155	12	101	20	11	30	12	1	45	28	17	115	137	119
ACRV1	1175	12	34	7	30	48	21	27	39	38	44	32	6	37	30	29	52	40	42
ACSBG1	2980	1688	2027	2363	280	357	620	79	2533	2768	2540	2302	85	1284	2184	1547	458	478	199
ACSBG2	2775	0	9	1	82	120	19	76	63	78	77	71	16	45	15	11	125	95	98
ACSF2	2418	171	254	250	89	162	143	59	332	373	287	416	18	243	279	292	283	142	162
ACSF3	4213	278	413	152	504	611	336	474	273	249	350	199	53	452	347	462	641	542	300
ACSL1	4540	776	1793	243	1898	2386	1289	2897	657	688	1193	719	162	1302	5062	993	1456	2614	1345
ACSL3	4361	2917	4280	809	4324	5690	5996	9312	3545	3675	5249	3500	940	5587	5475	4725	3519	5131	2880
ACSL4	5335	1458	3098	303	3976	5439	4173	11346	4187	4177	6152	4223	1740	8102	4028	2667	2926	5902	3161
ACSL5	3826	228	157	158	148	287	169	194	227	385	286	192	21	505	307	192	112	150	106
ACSL6	8980	3287	6540	1604	1060	2150	6266	3269	7854	7221	8104	7695	985	5704	6274	4037	786	2464	480
ACSM1	2221	9	1	6	12	13	2	3	4	7	4	5	0	2	12	2	5	5	7
ACSM2A	4480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	2667	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3	2402	7	7	2	16	21	12	9	5	12	7	9	0	10	15	7	10	18	21
ACSM4	1743	9	8	2	15	12	11	10	12	18	13	12	6	26	6	9	27	12	17
ACSM5	2779	36	55	101	2	4	18	4	31	48	72	40	5	68	63	76	8	7	0
ACSM6	1794	1	0	0	3	10	0	2	0	3	3	2	0	4	1	0	9	1	3
ACSS1	5430	1946	2316	2276	771	770	805	317	3819	3773	3756	3037	179	2527	3403	2000	1681	892	871
ACSS2	3193	800	1166	207	918	1062	732	1381	625	703	1048	660	128	984	2009	1109	1186	968	863
ACSS3	3226	199	368	477	103	270	173	98	502	393	314	607	13	298	367	301	203	157	149
ACTA1	1492	53	23	5	26	62	58	98	81	69	113	73	17	86	46	51	43	120	52
ACTA2	3034	742	453	1983	155	415	910	492	2349	1808	996	1928	202	429	786	815	466	337	170
ACTB	2253	46280	50048	13309	116804	114565	41591	112807	58603	49672	75304	62445	8092	48945	74281	61435	120534	121461	99450
ACTBL2	2794	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACTC1	3693	81	91	37	7	25	117	7	76	71	86	70	11	71	90	97	68	77	60
ACTG1	2105	23456	31785	8688	122481	131669	22000	127042	35945	34695	51163	39006	6474	36415	38792	31445	144526	123214	107051
ACTG1P17	1652	14	16	12	3	16	13	9	7	20	29	25	3	24	25	9	21	8	10
ACTG1P20	2652	20	15	10	235	299	23	238	29	43	82	53	9	86	56	42	230	204	263
ACTG1P4	1983	4	1	4	20	28	10	9	3	8	9	7	0	7	11	7	9	16	11
ACTG2	2529	22	15	138	6	27	40	68	226	173	50	124	7	13	41	35	31	21	15
ACTL10	2028	7	6	4	26	21	11	20	9	3	20	9	1	11	11	9	21	19	6
ACTL6A	1906	81	258	151	1453	1876	153	722	326	358	482	278	35	348	500	84	2033	1331	1386
ACTL6B	1548	1409	1432	136	4482	5388	1332	5465	1175	1124	2113	1207	372	2096	1410	2055	3716	5448	3907
ACTL7A	1433	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0	0
ACTL7B	1407	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
ACTL8	1861	3	3	0	5	2	6	12	3	2	1	1	1	2	2	1	0	4	1
ACTL9	1422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	7305	4238	3580	811	1526	3020	4527	1622	2358	2040	3680	2157	416	3289	4046	7544	3130	2092	2020
ACTN1-AS1	599	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	3	3	0
ACTN2	4725	1745	2642	179	13424	6111	2782	15569	1708	1785	2300	1871	482	3324	4106	2833	374	3291	342
ACTN3	3330	13	12	2	12	16	2	14	4	2	14	5	0	16	8	7	8	11	11
ACTN4	4144	7481	6199	2090	5493	7430	6049	5421	4449	4289	6341	4190	659	5300	9426	11500	5965	5307	5074
ACTR10	3112	949	2513	491	3211	3480	2272	5095	2506	1930	3557	2340	738	3502	2859	1159	2858	3720	2248
ACTR1A	2873	5550	6466	1201	10846	12134	5423	13641	4234	3941	7200	4062	977	5428	7790	7412	13572	12659	9514
ACTR1B	2258	3450	4201	840	2303	2174	3513	2158	2116	2058	3576	2136	462	2617	4567	4705	3175	2572	2516
ACTR2	4329	6250	10915	1589	10172	13987	13004	17142	8433	7433	12843	8457	2182	13493	12693	10643	10770	14511	10365
ACTR3	5881	2065	3815	791	9518	10575	3353	13435	4209	4098	5637	4228	1049	6418	4961	2820	8899	10702	7964
ACTR3B	2217	1625	1891	248	3313	3814	2269	6713	2882	2224	4078	2451	779	3781	1924	2762	1575	4133	1884
ACTR3BP2	1338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3BP5	1645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	1420	19	61	5	17	13	40	12	44	20	65	26	8	58	30	58	8	18	6
ACTR5	2479	168	263	55	689	911	175	587	179	210	304	202	23	242	351	267	1022	811	618
ACTR6	3536	555	1770	270	1585	2102	1144	2383	1159	1159	1517	1104	268	1764	1649	758	1878	2370	1401
ACTR8	3806	304	576	151	1926	2678	667	2428	554	587	947	572	164	1197	827	652	1993	2236	1675
ACTRT1	1442	0	0	0	0	0	1	1	3	1	2	2	0	0	2	1	1	1	2
ACTRT2	1422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	2003	52	53	17	25	34	63	67	38	30	83	46	11	146	52	44	31	46	16
ACVR1	3269	294	525	258	2898	2141	500	1968	752	800	869	783	144	553	833	418	2090	2248	1661
ACVR1B	5559	2398	2529	410	6726	8285	2603	9990	2171	2274	3991	2322	626	4806	3177	4206	5749	8809	7136
ACVR1C	9077	220	444	60	1581	356	872	539	321	308	359	246	163	624	676	364	123	267	163
ACVR2A	5434	335	580	91	3453	4744	628	4828	1052	1387	2141	1295	364	2306	821	493	3362	5637	3493
ACVR2B	11455	373	531	121	4561	8212	694	5585	749	849	1142	908	134	1980	983	692	5989	6278	5018
ACVR2B-AS1	2517	15	22	7	196	191	26	95	21	33	38	31	7	26	30	47	155	177	193
ACVRL1	4490	502	269	177	240	430	225	453	414	454	295	389	46	331	362	182	450	337	267
ACY1	2284	20	30	12	40	38	13	35	12	19	26	26	1	45	27	24	49	50	57
ACY3	1300	13	56	7	38	28	27	0	58	23	118	49	21	24	19	7	8	15	23
ACYP1	686	280	451	92	899	1161	332	1158	514	406	636	540	92	728	598	294	1062	1283	944
ACYP2	1222	712	1377	443	241	333	989	523	1120	1003	1281	1157	136	1023	1647	885	216	321	278
ADA	1532	76	158	72	46	110	68	115	270	280	252	211	18	117	319	60	101	74	59
ADA2	6026	218	327	274	607	669	130	209	438	564	822	510	69	638	795	262	561	428	957
ADAD1	2255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAD2	2304	45	39	9	5	21	81	7	15	20	32	13	0	38	32	49	9	8	13
ADAL	3967	229	265	91	469	542	314	394	294	314	372	373	81	381	302	281	706	562	489
ADAM10	5066	955	1489	366	4262	4667	1646	5234	1393	1623	2145	1432	307	2711	3106	1500	4034	4765	3956
ADAM11	4412	4794	4135	639	2191	2806	4340	3974	2200	2231	4721	2208	729	4686	4766	8573	1757	2816	1568
ADAM12	6987	18	23	22	133	301	45	478	134	189	162	181	21	83	74	23	175	206	159
ADAM15	5115	1563	1294	491	1622	1679	942	1265	1024	1015	1696	957	115	1180	2559	1431	2218	1546	1418
