Gene	Status
CRYAB	Adult
SCN2B	Adult
MCAM	Adult
THY1	Adult
HEPACAM	Adult
ARHGAP32	Adult
ADAMTS8	Adult
IQSEC3	Adult
LRTM2	Adult
PRMT8	Adult
KCNA1	Adult
WNT1	Adult
KCNH3	Adult
KIF5A	Adult
SYT1	Adult
WSCD2	Adult
RPH3A	Adult
HSPB8	Adult
CABP1	Adult
TMEM132C	Adult
FZD10	Adult
NRIP2	Adult
PIANP	Adult
STYK1	Adult
MGP	Adult
DBX2	Adult
WNT10B	Adult
DDN	Adult
FAIM2	Adult
KRT81	Adult
ZNF385A	Adult
TESPA1	Adult
AGAP2	Adult
WIF1	Adult
PTPRR	Adult
KCNC2	Adult
SVOP	Adult
RASAL1	Adult
HRK	Adult
TESC	Adult
KSR2	Adult
TMEM132D	Adult
FZD10-AS1	Adult
GALNT9	Adult
SERTM1	Adult
CLDN10	Adult
FLT3	Adult
FLT1	Adult
ADPRHL1	Adult
CMTM5	Adult
CPNE6	Adult
ABHD12B	Adult
LGALS3	Adult
SIPA1L1	Adult
SLC24A4	Adult
CHGA	Adult
IFI27	Adult
TUNAR	Adult
HHIPL1	Adult
MEG3	Adult
TNFAIP2	Adult
CLEC14A	Adult
DIO2	Adult
PRIMA1	Adult
ASB2	Adult
DEGS2	Adult
CKB	Adult
GABRA5	Adult
WHAMMP2	Adult
PDCD6IPP2	Adult
SCG5	Adult
TYRO3	Adult
CAPN3	Adult
MAP1A	Adult
SLC12A1	Adult
GLDN	Adult
SCG3	Adult
TLN2	Adult
PAQR5	Adult
ANKRD34C	Adult
ARNT2	Adult
SV2B	Adult
SYNM	Adult
ALDH1A3	Adult
LOC283683	Adult
ACTC1	Adult
LTK	Adult
RASL12	Adult
INSYN1	Adult
CSPG4	Adult
ACSBG1	Adult
RASGRF1	Adult
CPEB1	Adult
PDIA2	Adult
RHBDL1	Adult
SOX8	Adult
BAIAP3	Adult
TMEM204	Adult
HS3ST2	Adult
CACNG3	Adult
SLC5A11	Adult
MT3	Adult
NDRG4	Adult
CA7	Adult
CNTNAP4	Adult
CDH13	Adult
WFDC1	Adult
JPH3	Adult
FBXL16	Adult
CASKIN1	Adult
C16orf89	Adult
GRIN2A	Adult
MYH11	Adult
DOC2A	Adult
STX1B	Adult
ABCC12	Adult
CDH8	Adult
RRAD	Adult
TPPP3	Adult
CHST6	Adult
RAP1GAP2	Adult
KCNJ12	Adult
RAB11FIP4	Adult
TMEM132E	Adult
LINC00672	Adult
PPP1R1B	Adult
CNTNAP1	Adult
EPN3	Adult
CA4	Adult
KCNJ16	Adult
KIF19	Adult
SMIM5	Adult
ITGB4	Adult
MGAT5B	Adult
LOC100507351	Adult
TMEM235	Adult
C1QTNF1	Adult
PITPNM3	Adult
YBX2	Adult
CORO6	Adult
OMG	Adult
C17orf102	Adult
GPR179	Adult
STAC2	Adult
HAP1	Adult
KCNH4	Adult
CCR10	Adult
MPP2	Adult
GFAP	Adult
CHAD	Adult
CA10	Adult
GRIN2C	Adult
NPTX1	Adult
AATK	Adult
ADCYAP1	Adult
APCDD1	Adult
ANKRD30B	Adult
AQP4-AS1	Adult
SLC14A1	Adult
LINC01630	Adult
ST8SIA3	Adult
CDH20	Adult
CNDP1	Adult
DLGAP1	Adult
AQP4	Adult
ST8SIA5	Adult
NETO1	Adult
HCN2	Adult
ARHGAP45	Adult
SHD	Adult
MIR7-3HG	Adult
CLEC4GP1	Adult
ICAM5	Adult
NWD1	Adult
KCNN1	Adult
TMEM59L	Adult
ZNF536	Adult
FXYD7	Adult
MAG	Adult
APLP1	Adult
SPRED3	Adult
RYR1	Adult
AXL	Adult
PRKCG	Adult
TTYH1	Adult
PLPP2	Adult
C2CD4C	Adult
LINGO3	Adult
DIRAS1	Adult
MATK	Adult
TUBB4A	Adult
CTXN1	Adult
RTBDN	Adult
USHBP1	Adult
UNC13A	Adult
GDF1	Adult
CERS1	Adult
HPN-AS1	Adult
LGI4	Adult
CLIP3	Adult
COX7A1	Adult
PPP1R14A	Adult
FBXO27	Adult
ATP1A3	Adult
GPR4	Adult
PNMA8B	Adult
SLC8A2	Adult
HRC	Adult
SHANK1	Adult
KLK6	Adult
HAS1	Adult
SHISA7	Adult
PEG3	Adult
CHGB	Adult
LAMP5	Adult
PCSK2	Adult
SYNDIG1	Adult
REM1	Adult
MYL9	Adult
SLC32A1	Adult
SGK2	Adult
SLC12A5	Adult
SLCO4A1	Adult
SLC52A3	Adult
SPEF1	Adult
ADRA1D	Adult
NKX2-2	Adult
VSX1	Adult
PTPRT	Adult
JPH2	Adult
LINC01260	Adult
CDH22	Adult
BCAS1	Adult
HRH3	Adult
MIR1-1HG-AS1	Adult
TCFL5	Adult
EEF1A2	Adult
STMN3	Adult
OLIG2	Adult
OLIG1	Adult
MX2	Adult
TRPM2	Adult
LINC00320	Adult
GRIK1	Adult
S100B	Adult
TPTEP1	Adult
SLC25A18	Adult
AIFM3	Adult
P2RX6	Adult
NEFH	Adult
LINC00634	Adult
TAFA5	Adult
MAPK8IP2	Adult
SLC7A4	Adult
P2RX6P	Adult
CACNG2	Adult
SSTR3	Adult
SOX10	Adult
KCNJ4	Adult
NPTXR	Adult
CHADL	Adult
SULT4A1	Adult
PNPLA5	Adult
LINC00898	Adult
MLC1	Adult
HEPH	Adult
GJB1	Adult
DRP2	Adult
TCEAL7	Adult
PLP1	Adult
SMIM10L2A	Adult
LOC389895	Adult
BGN	Adult
SLC6A8	Adult
PLXNB3	Adult
GPM6B	Adult
PIR	Adult
MAP7D2	Adult
EFHC2	Adult
PCSK1N	Adult
KCND1	Adult
ITM2A	Adult
TCEAL6	Adult
APLN	Adult
IGSF1	Adult
MCF2	Adult
HAUS7	Adult
PNCK	Adult
RENBP	Adult
ZBTB8B	Fetal
ZBTB8A	Fetal
CACNA1E	Fetal
SYT14	Fetal
VASH2	Fetal
COL11A1	Fetal
CELF3	Fetal
SOX11	Fetal
LOC400940	Fetal
POU3F3	Fetal
TBR1	Fetal
NYAP2	Fetal
PANTR1	Fetal
ST6GAL2	Fetal
SCN3A	Fetal
SPHKAP	Fetal
LRRC3B	Fetal
ROBO2	Fetal
PTX3	Fetal
EPHA5-AS1	Fetal
PRDM8	Fetal
GRID2	Fetal
CRMP1	Fetal
EPHA5	Fetal
VCAN	Fetal
PCDHGC4	Fetal
NSG2	Fetal
LRRTM2	Fetal
RNF182	Fetal
CASC15	Fetal
GRIK2	Fetal
FABP7	Fetal
SOGA3	Fetal
ST7	Fetal
SP8	Fetal
IGF2BP3	Fetal
NEUROD6	Fetal
GPR85	Fetal
MSRA	Fetal
SMIM18	Fetal
MIR124-2HG	Fetal
STMN2	Fetal
STC1	Fetal
C8orf34-AS1	Fetal
MMP16	Fetal
RUNX1T1	Fetal
CSMD3	Fetal
GPR21	Fetal
PTPRD	Fetal
ELAVL2	Fetal
ZNF883	Fetal
CELF2	Fetal
LRRC55	Fetal
DCHS1	Fetal
MIR100HG	Fetal
TUBA1C	Fetal
GRIP1	Fetal
TNFRSF19	Fetal
FOXG1	Fetal
LINC01551	Fetal
CHD9	Fetal
DLL3	Fetal
SCRT2	Fetal
MIAT	Fetal
MN1	Fetal
TRO	Fetal
TMEM35A	Fetal
MAGEE2	Fetal
DCX	Fetal
